Method,Library / Object,Argument,Type,Valid Range,Required or Not Required,Default Value
pd.count(),pandas.core.series.Series,level,int/str,valid level,Not Required,None
pd.count(),pandas.core.frame.DataFrame,axis,int or str,0/'index' or 1/'columns',Not Required,0
pd.count(),pandas.core.frame.DataFrame,numeric_only,bool,True or False,Not Required,FALSE
pd.count(),pandas.core.groupby.generic.SeriesGroupBy,—,—,no required parameters,Not Required,—
pd.count(),pandas.core.groupby.generic.DataFrameGroupBy,numeric_only,bool,True or False,Not Required,FALSE
pd.DataFrame.columns,pandas.core.frame.DataFrame,—,—,attribute; no parameters,Not Required,—
pd.Series.to_frame(),pandas.core.series.Series,name,object,column name or None,Not Required,None
pd.isna(),pandas,obj,scalar/array-like/pandas object,any object,Required,—
pd.isna(),pandas.core.series.Series,—,—,no parameters,Not Required,—
pd.isna(),pandas.core.frame.DataFrame,—,—,no parameters,Not Required,—
pd.notna(),pandas,obj,scalar/array-like/pandas object,any object,Required,—
pd.notna(),pandas.core.series.Series,—,—,no parameters,Not Required,—
pd.notna(),pandas.core.frame.DataFrame,—,—,no parameters,Not Required,—
pd.fillna(),pandas.core.series.Series,value,scalar/dict/Series,valid fill value,Not Required,None
pd.fillna(),pandas.core.series.Series,method,str,"ffill','bfill'",Not Required,None
pd.fillna(),pandas.core.series.Series,axis,int or str,0/'index',Not Required,None
pd.fillna(),pandas.core.series.Series,inplace,bool,True or False,Not Required,FALSE
pd.fillna(),pandas.core.series.Series,limit,int,>0,Not Required,None
pd.fillna(),pandas.core.series.Series,downcast,dict or str,valid downcast rule,Not Required,None
pd.fillna(),pandas.core.frame.DataFrame,value,scalar/dict/Series/DataFrame,valid fill value,Required,—
pd.fillna(),pandas.core.frame.DataFrame,axis,int or str,0/'index' or 1/'columns',Not Required,None
pd.fillna(),pandas.core.frame.DataFrame,inplace,bool,True or False,Not Required,FALSE
pd.fillna(),pandas.core.frame.DataFrame,limit,int,>0,Not Required,None
pd.dropna(),pandas.core.series.Series,axis,int or str,0/'index',Not Required,0
pd.dropna(),pandas.core.series.Series,inplace,bool,True or False,Not Required,FALSE
pd.dropna(),pandas.core.series.Series,how,str,any',Not Required,None
pd.dropna(),pandas.core.series.Series,ignore_index,bool,True or False,Not Required,FALSE
pd.dropna(),pandas.core.frame.DataFrame,axis,int or str,0/'index' or 1/'columns',Not Required,0
pd.dropna(),pandas.core.frame.DataFrame,how,str,any' or 'all',Not Required,any
pd.dropna(),pandas.core.frame.DataFrame,thresh,int,>=1,Not Required,None
pd.dropna(),pandas.core.frame.DataFrame,subset,label/list,valid labels,Not Required,None
pd.dropna(),pandas.core.frame.DataFrame,inplace,bool,True or False,Not Required,FALSE
pd.dropna(),pandas.core.frame.DataFrame,ignore_index,bool,True or False,Not Required,FALSE
pd.DataFrame.cumcount(),pandas.core.groupby.generic.SeriesGroupBy,ascending,bool,True or False,Not Required,TRUE
pd.DataFrame.cumcount(),pandas.core.groupby.generic.DataFrameGroupBy,ascending,bool,True or False,Not Required,TRUE
pd.head(),pandas.core.series.Series,n,int,any integer,Not Required,5
pd.head(),pandas.core.frame.DataFrame,n,int,any integer,Not Required,5
pd.head(),pandas.core.groupby.generic.SeriesGroupBy,n,int,any integer,Not Required,5
pd.head(),pandas.core.groupby.generic.DataFrameGroupBy,n,int,any integer,Not Required,5
pd.filter(),pandas.core.series.Series,items,list-like,valid labels,Not Required,None
pd.filter(),pandas.core.series.Series,like,str,any string,Not Required,None
pd.filter(),pandas.core.series.Series,regex,str,valid regex,Not Required,None
pd.filter(),pandas.core.series.Series,axis,int or str,0/'index',Not Required,None
pd.filter(),pandas.core.frame.DataFrame,items,list-like,valid labels,Not Required,None
pd.filter(),pandas.core.frame.DataFrame,like,str,any string,Not Required,None
pd.filter(),pandas.core.frame.DataFrame,regex,str,valid regex,Not Required,None
pd.filter(),pandas.core.frame.DataFrame,axis,int or str,0/'index' or 1/'columns',Not Required,None
pd.filter(),pandas.core.groupby.generic.DataFrameGroupBy,func,callable,returns True/False per group,Required,—
pd.filter(),pandas.core.groupby.generic.DataFrameGroupBy,dropna,bool,True or False,Not Required,TRUE
filter(),Built-in,function,callable or None,returns True/False,Required,—
filter(),Built-in,iterable,iterable,any iterable,Required,—
np.array(),numpy.ndarray,dtype,type,any valid numpy dtype,Not Required,None
np.reshape(),numpy.ndarray,newshape,tuple,int dimensions matching total elements,Required,-
np.expand_dims(),numpy.ndarray,axis,int,valid axis index,Required,-
np.squeeze(),numpy.ndarray,axis,int or None,valid axes or None,Not Required,None
np.vstack(),numpy,arrays,tuple,list/tuple of arrays,Required,-
np.hstack(),numpy,arrays,tuple,list/tuple of arrays,Required,-
np.concatenate(),numpy,arrays,tuple,list/tuple of arrays,Required,-
np.concatenate(),numpy,axis,int,valid axis index,Not Required,0
np.where(),numpy.ndarray,condition,array-like,boolean array,Required,-
np.where(),numpy.ndarray,x,array-like,values when True,Not Required,-
np.where(),numpy.ndarray,y,array-like,values when False,Not Required,-
np.argmax(),numpy.ndarray,axis,int,valid axis index,Not Required,None
np.sort(),numpy.ndarray,axis,int,valid axis index,Not Required,-1
sorted(),Built-in,iterable,iterable,list/tuple/set,Required,-
sorted(),Built-in,key,callable,function for sorting,Not Required,None
np.ndarray.sort(),numpy.ndarray,axis,int,valid axis index,Not Required,-1
np.flatten(),numpy.ndarray,-,-,attribute; no parameters,Not Required,-
np.ravel(),numpy.ndarray,order,str,'C','F','A'
reversed(),Built-in,iterable,iterable,list/tuple/string,Required,-
list.reverse(),Built-in,-,-,attribute; no parameters,Not Required,-
collections.Counter(),collections.Counter,iterable,iterable,any iterable of hashable items,Not Required,None
collections.Counter(),collections.Counter,mapping,dict-like,mapping of element to count,Not Required,None
collections.Counter.update(),collections.Counter,iterable,iterable,any iterable of hashable items,Not Required,None
collections.Counter.update(),collections.Counter,mapping,dict-like,mapping of element to increment amount,Not Required,None
collections.Counter.most_common(),collections.Counter,n,int,non-negative integer,Not Required,None
collections.Counter.keys(),collections.Counter,-,-,attribute; no parameters,Not Required,-
collections.Counter.values(),collections.Counter,-,-,attribute; no parameters,Not Required,-
collections.Counter.items(),collections.Counter,-,-,attribute; no parameters,Not Required,-
pd.replace(),pandas.core.frame.DataFrame,to_replace,scalar list dict or regex,values to match,Required,-
pd.replace(),pandas.core.frame.DataFrame,value,scalar list dict,replacement values,Not Required,None
pd.replace(),pandas.core.series.Series,to_replace,scalar list dict or regex,values to match,Required,-
pd.replace(),pandas.core.series.Series,value,scalar list dict,replacement values,Not Required,None
pd.where(),pandas.core.frame.DataFrame,cond,DataFrame or boolean array,True/False mask,Required,-
pd.where(),pandas.core.frame.DataFrame,other,scalar DataFrame or Series,replacement values,Not Required,np.nan
pd.where(),pandas.core.series.Series,cond,Series or boolean array,True/False mask,Required,-
pd.where(),pandas.core.series.Series,other,scalar Series,replacement values,Not Required,np.nan
pd.mask(),pandas.core.frame.DataFrame,cond,DataFrame or boolean array,True/False mask,Required,-
pd.mask(),pandas.core.frame.DataFrame,other,scalar DataFrame or Series,replacement values,Not Required,np.nan
pd.mask(),pandas.core.series.Series,cond,Series or boolean array,True/False mask,Required,-
pd.mask(),pandas.core.series.Series,other,scalar Series,replacement values,Not Required,np.nan
pd.astype(),pandas.core.frame.DataFrame,dtype,str dict or type,target dtype,Required,-
pd.astype(),pandas.core.series.Series,dtype,str or type,target dtype,Required,-
pd.applymap(),pandas.core.frame.DataFrame,func,callable,any callable,Required,-
pd.str.lower(),pandas.core.series.Series,-,-,attribute; no parameters,Not Required,-
pd.to_datetime(),pandas,arg,scalar list-like Series or DataFrame,datetime-convertible values,Required,-
pd.to_datetime(),pandas,format,str,valid datetime format string,Not Required,None
pd.to_datetime(),pandas,errors,str,"'raise','coerce','ignore'",Not Required,raise
pd.to_datetime(),pandas,dayfirst,bool,True or False,Not Required,False
pd.to_datetime(),pandas,yearfirst,bool,True or False,Not Required,False
pd.to_timedelta(),pandas,arg,scalar list-like or Series,timedelta-convertible values,Required,-
pd.to_timedelta(),pandas,unit,str,"'D','h','m','s','ms','us','ns'",Not Required,None
pd.to_timedelta(),pandas,errors,str,"'raise','coerce','ignore'",Not Required,raise
pd.diff(),pandas.core.series.Series,periods,int,any integer row offset,Not Required,1
pd.diff(),pandas.core.frame.DataFrame,periods,int,any integer row offset,Not Required,1
pd.diff(),pandas.core.frame.DataFrame,axis,int or str,0/'index' or 1/'columns',Not Required,0
pd.shift(),pandas.core.series.Series,periods,int,positive or negative integer,Not Required,1
pd.shift(),pandas.core.series.Series,freq,str or DateOffset,valid time frequency,Not Required,None
pd.shift(),pandas.core.series.Series,fill_value,scalar,any valid fill value,Not Required,None
pd.shift(),pandas.core.frame.DataFrame,periods,int or sequence of int,positive or negative integer offsets,Not Required,1
pd.shift(),pandas.core.frame.DataFrame,freq,str or DateOffset,valid time frequency,Not Required,None
pd.shift(),pandas.core.frame.DataFrame,axis,int or str,0/'index' or 1/'columns',Not Required,0
pd.shift(),pandas.core.frame.DataFrame,fill_value,scalar,any valid fill value,Not Required,None
pd.Series.dt.total_seconds(),pandas.core.series.Series,-,-,no parameters,Not Required,-
pd.Series.dt.components,pandas.core.series.Series,-,-,attribute no parameters,Not Required,-
pd.Series.dt,pandas.core.series.Series,year,int-like datetime property,datetime Series only,Not Required,-
pd.Series.dt,pandas.core.series.Series,month,int-like datetime property,datetime Series only,Not Required,-
pd.Series.dt,pandas.core.series.Series,day,int-like datetime property,datetime Series only,Not Required,-
pd.Series.dt,pandas.core.series.Series,hour,int-like datetime property,datetime Series only,Not Required,-
pd.Series.dt,pandas.core.series.Series,minute,int-like datetime property,datetime Series only,Not Required,-
pd.Series.dt,pandas.core.series.Series,second,int-like datetime property,datetime Series only,Not Required,-
pd.Series.dt,pandas.core.series.Series,days,int-like timedelta property,timedelta Series only,Not Required,-
pd.Series.dt,pandas.core.series.Series,seconds,int-like timedelta property,timedelta Series only,Not Required,-
relativedelta(),dateutil.relativedelta,years,int,any integer,Not Required,0
relativedelta(),dateutil.relativedelta,months,int,any integer,Not Required,0
relativedelta(),dateutil.relativedelta,days,int,any integer,Not Required,0
relativedelta(),dateutil.relativedelta,hours,int,any integer,Not Required,0
relativedelta(),dateutil.relativedelta,minutes,int,any integer,Not Required,0
relativedelta(),dateutil.relativedelta,seconds,int,any integer,Not Required,0
datetime.datetime.now(),datetime,tz,None or timezone,valid tzinfo object,Not Required,None
datetime.datetime.strptime(),datetime,date_string,str,valid date string,Required,-
datetime.datetime.strptime(),datetime,format,str,valid format codes,Required,-
datetime.datetime.strftime(),datetime,format,str,valid format codes,Required,-
datetime.datetime.timestamp(),datetime,-,-,no parameters,Not Required,-
datetime.datetime.fromtimestamp(),datetime,timestamp,float or int,valid Unix timestamp,Required,-
datetime.timedelta(),datetime,days,int or float,any numeric value,Not Required,0
datetime.timedelta(),datetime,seconds,int or float,any numeric value,Not Required,0
datetime.timedelta(),datetime,microseconds,int or float,any numeric value,Not Required,0
datetime.timedelta(),datetime,milliseconds,int or float,any numeric value,Not Required,0
datetime.timedelta(),datetime,minutes,int or float,any numeric value,Not Required,0
datetime.timedelta(),datetime,hours,int or float,any numeric value,Not Required,0
datetime.timedelta(),datetime,weeks,int or float,any numeric value,Not Required,0
datetime.timedelta.total_seconds(),datetime,-,-,no parameters,Not Required,-
datetime.timedelta.days,datetime,-,-,attribute no parameters,Not Required,-
datetime.timedelta.seconds,datetime,-,-,attribute no parameters,Not Required,-
datetime.timedelta.microseconds,datetime,-,-,attribute no parameters,Not Required,-
str.isalpha(),builtins.str,-,-,no parameters,Not Required,-
str.isalnum(),builtins.str,-,-,no parameters,Not Required,-
str.find(),builtins.str,sub,str,substring to search for,Required,-
str.find(),builtins.str,start,int,valid start index,Not Required,0
str.find(),builtins.str,end,int,valid stop index,Not Required,len(string)
str.startswith(),builtins.str,prefix,str or tuple,substring or tuple of substrings,Required,-
str.startswith(),builtins.str,start,int,valid start index,Not Required,0
str.startswith(),builtins.str,end,int,valid stop index,Not Required,len(string)
str.endswith(),builtins.str,suffix,str or tuple,substring or tuple of substrings,Required,-
str.endswith(),builtins.str,start,int,valid start index,Not Required,0
str.endswith(),builtins.str,end,int,valid stop index,Not Required,len(string)
str.strip(),builtins.str,chars,str,characters to remove from both ends,Not Required,None
str.lower(),builtins.str,-,-,no parameters,Not Required,-
str.upper(),builtins.str,-,-,no parameters,Not Required,-
list.append(),builtins.list,object,any,any object to add as one item,Required,-
list.extend(),builtins.list,iterable,iterable,any iterable whose items should be added,Required,-
list.insert(),builtins.list,index,int,valid insertion index,Required,-
list.insert(),builtins.list,object,any,any object to insert,Required,-
list.remove(),builtins.list,value,any,value that exists in the list,Required,-
list.pop(),builtins.list,index,int,valid index,Not Required,-1
list.sort(),builtins.list,key,callable,any callable used for sorting,Not Required,None
list.sort(),builtins.list,reverse,bool,True or False,Not Required,False
list.reverse(),builtins.list,-,-,no parameters,Not Required,-
list.count(),builtins.list,value,any,value to count,Required,-
list.index(),builtins.list,value,any,value to locate,Required,-
list.index(),builtins.list,start,int,valid start index,Not Required,0
list.index(),builtins.list,stop,int,valid stop index,Not Required,len(list)
str.count(),builtins.str,sub,str,substring to count,Required,-
str.count(),builtins.str,start,int,valid start index,Not Required,0
str.count(),builtins.str,end,int,valid stop index,Not Required,len(string)
substr(),SQLite,start,int,>=1,Required,-
substr(),SQLite,length,int,>=0,Not Required,-
||,SQLite,-,-,operator; no parameters,Not Required,-
date(),SQLite,time-value,str,valid date/time string,Required,-
date(),SQLite,modifier,str,"'+1 day','-2 months'",Not Required,-
strftime(),SQLite,format,str,"'%Y','%m','%Y-%m'",Required,-
strftime(),SQLite,time-value,str,valid date/time string,Required,-
strftime(),SQLite,modifier,str,"'+1 day','-1 year'",Not Required,-
CASE WHEN,SQLite,condition,boolean expression,valid SQL condition,Required,-
CASE WHEN,SQLite,then_value,any,any valid SQL value,Required,-
CASE WHEN,SQLite,else_value,any,any valid SQL value,Not Required,-
COUNT(),SQLite,expression,any,column or,Not Required,
SUM(),SQLite,expression,numeric,valid numeric column,Required,-
AVG(),SQLite,expression,numeric,valid numeric column,Required,-
MIN(),SQLite,expression,any,comparable values,Required,-
MAX(),SQLite,expression,any,comparable values,Required,-
ROUND(),SQLite,value,numeric,any numeric value,Required,-
ROUND(),SQLite,precision,int,>=0,Not Required,0
ABS(),SQLite,value,numeric,any numeric value,Required,-
CAST(),SQLite,expression,any,any value,Required,-
CAST(),SQLite,type,str,"INTEGER,REAL,TEXT",Required,-
julianday(),SQLite,time-value,str,valid date/time string,Required,-
datetime(),SQLite,time-value,str,valid date/time string,Required,-
datetime(),SQLite,modifier,str,"'+1 hour','-1 day'",Not Required,-
lower(),SQLite,string,str,any text,Required,-
upper(),SQLite,string,str,any text,Required,-
length(),SQLite,string,str,any text,Required,-
trim(),SQLite,string,str,any text,Required,-
trim(),SQLite,characters,str,any characters,Not Required,' '
ltrim(),SQLite,string,str,any text,Required,-
ltrim(),SQLite,characters,str,any characters,Not Required,' '
rtrim(),SQLite,string,str,any text,Required,-
rtrim(),SQLite,characters,str,any characters,Not Required,' '
replace(),SQLite,string,str,any text,Required,-
replace(),SQLite,search,str,any substring,Required,-
replace(),SQLite,replace,str,any substring,Required,-
instr(),SQLite,string,str,any text,Required,-
instr(),SQLite,substring,str,any substring,Required,-
printf(),SQLite,format,str,format string,Required,-
printf(),SQLite,value,any,any value,Required,-
coalesce(),SQLite,value,any,any value,Required,-
coalesce(),SQLite,value2,any,any value,Not Required,-
ifnull(),SQLite,value,any,any value,Required,-
ifnull(),SQLite,fallback,any,any value,Required,-
like,SQLite,pattern,str,% and _ wildcards,Required,-
glob,SQLite,pattern,str,* and ? wildcards,Required,-
substr(),SQLite,string,str,any text,Required,-
substr(),SQLite,start,int,>=1,Required,-
substr(),SQLite,length,int,>=0,Not Required,-
UNION ALL,SQLite compound SELECT syntax,SELECT statement,-,Same column count and compatible types across queries,Required,-
UNION,SQLite compound SELECT syntax,SELECT statement,-,Same column count and compatible types; removes duplicates automatically,Required,-
INTERSECT,SQLite compound SELECT syntax,SELECT statement,-,Same column count and compatible types; returns common rows,Required,-
EXCEPT,SQLite compound SELECT syntax,SELECT statement,-,Same column count and compatible types; order matters (A EXCEPT B),Required,-
set(),Built-in,iterable,iterable,any iterable,Not Required,-
set.union(),Built-in,other,set or iterable,any iterable,Required,-
set.intersection(),Built-in,other,set or iterable,any iterable,Required,-
set.difference(),Built-in,other,set or iterable,any iterable,Required,-
set.symmetric_difference(),Built-in,other,set or iterable,any iterable,Required,-
set.add(),Built-in,element,any hashable object,hashable,Required,-
set.remove(),Built-in,element,any hashable object,must exist in set,Required,-
set.discard(),Built-in,element,any hashable object,hashable,Required,-
set.update(),Built-in,iterable,iterable,any iterable,Required,-
set.issubset(),Built-in,other,set or iterable,any iterable,Required,-
set.issuperset(),Built-in,other,set or iterable,any iterable,Required,-
set.isdisjoint(),Built-in,other,set or iterable,any iterable,Required,-
itertools.permutations(),itertools,iterable,iterable,any iterable,Required,-
itertools.permutations(),itertools,r,int,0 <= r <= len(iterable),Not Required,len(iterable)
itertools.combinations(),itertools,iterable,iterable,any iterable,Required,-
itertools.combinations(),itertools,r,int,0 <= r <= len(iterable),Required,-
itertools.product(),itertools,iterable,list-like,any iterable,Required,-
itertools.product(),itertools,repeat,int,>= 0,Not Required,1
itertools.combinations_with_replacement(),itertools,iterable,iterable,any iterable,Required,-
itertools.combinations_with_replacement(),itertools,r,int,>= 0,Required,-
math.perm(),math,n,int,n >= 0,Required,-
math.perm(),math,k,int,0 <= k <= n,Required,-
math.comb(),math,n,int,n >= 0,Required,-
math.comb(),math,k,int,0 <= k <= n,Required,-
itertools.chain(),itertools,iterables,iterable,any iterable,Required,-
itertools.zip_longest(),itertools,iterables,iterable,any iterable,Required,-
itertools.zip_longest(),itertools,fillvalue,any object,any value,Not Required,None
